,Company Name,State,Rating,Date,Time,Url,pizza_name_yn,name_length,basketball_season_yn,football_season_yn,baseball_season_yn,season,Days_Since,Last_Score,Three_Day_Avg,Ten_Day_Avg,num_yelp_reviews,yelp_rating,yelp_est_price,Zip
22,Columbia Inn Restaurant,NJ,8.7,2020-07-10,6:00,https://onebite.app/restaurant/columbia-inn-restaurant-montville-nj-e2bea950/review/6d42eb35-c916-4496-9f5a-a8f122534d1b,0,23,0,0,1,summer,1.0,7.5,7.233333333333334,7.43,92.0,3.5,2.0, 07045
23,Vince the Pizza Prince,PA,7.5,2020-07-09,6:00,https://onebite.app/restaurant/vince-the-pizza-prince-scranton-pa-6966b6ff/review/0ae333b0-c6e5-43c0-ad1a-e4fac7fde562,1,22,0,0,1,summer,1.0,6.8,7.233333333333333,7.33,15.0,4.0,1.0, 18505
25,Alfredo's Pizza Cafe,PA,7.4,2020-07-07,6:00,https://onebite.app/restaurant/alfredos-pizza-cafe-scranton-pa-cd713d02/review/b57bc251-d9d5-4cb5-b902-ca64912d050f,1,20,0,0,1,summer,1.0,7.5,7.833333333333333,7.339999999999999,153.0,3.5,2.0, 18505
26,Maroni's Pizza House,PA,7.5,2020-07-06,6:00,https://onebite.app/restaurant/maronis-pizza-house-scranton-pa-37cf8f82/review/7fa8b9cf-a57e-4f48-8208-f2e9d70346a6,1,20,0,0,1,summer,3.0,7.9,7.766666666666667,7.339999999999999,123.0,4.5,1.0, 18504
27,Sabatini's Pizza Inc,PA,7.9,2020-07-03,6:00,https://onebite.app/restaurant/sabatinis-pizza-inc-exeter-pa-7ec1f60a/review/74363d5d-d1ae-4451-b0e9-d67f36199379,1,20,0,0,1,summer,1.0,8.1,7.833333333333333,7.32,130.0,4.0,2.0, 18643
28,Gerry's Pizzeria,PA,8.1,2020-07-02,6:00,https://onebite.app/restaurant/gerrys-pizzeria-wilkes-barre-pa-a58bd8d3/review/02b996a5-2f4a-48ab-aacb-ce0d5184f76b,0,16,0,0,1,summer,1.0,7.3,7.433333333333333,7.1899999999999995,59.0,4.5,1.0, 18702
29,Shelley's Pizza,PA,7.3,2020-07-01,6:00,https://onebite.app/restaurant/shelleys-pizza-wilkes-barre-pa-bc43d42d/review/1ee59f46-7929-4205-bfea-07a39bb38df5,1,15,0,0,1,summer,1.0,8.1,7.266666666666667,7.220000000000001,10.0,4.0,1.0, 18701
30,Angelo's Pizza,PA,8.1,2020-06-30,6:00,https://onebite.app/restaurant/angelos-pizza-wilkes-barre-pa-28200093/review/2ce7cb03-bb74-40d5-9e96-fb5c0ba89f2f,1,14,0,0,1,summer,1.0,6.9,6.733333333333333,7.139999999999999,71.0,4.5,1.0, 18702
31,M & S Pizza II,NJ,6.9,2020-06-29,6:00,https://onebite.app/restaurant/m-and-s-pizza-ii-rockaway-township-nj-eb0a1358/review/f24583e1-87aa-4a3a-bcce-e2179db9ad9f,1,14,0,0,1,summer,3.0,6.8,6.966666666666666,7.24,61.0,4.0,1.0, 07866
32,Vinnie's Pizzeria & Ristorante,NJ,6.8,2020-06-26,6:00,https://onebite.app/restaurant/vinnies-pizzeria-and-ristorante-boonton-nj-386d61de/review/a4555bc2-d76e-4008-a129-e52aedfb7475,0,30,0,0,1,summer,1.0,6.5,6.933333333333334,7.33,52.0,3.5,2.0, 07005
33,Pasquale's Pizza,NJ,6.5,2020-06-25,6:00,https://onebite.app/restaurant/pasquales-pizza-boonton-nj-2b167691/review/00579e54-21fd-4ae4-9270-8eeb408a7118,1,16,0,0,1,summer,1.0,7.6,7.266666666666667,7.339999999999999,68.0,4.5,1.0, 07005
